product_id,handle,title,blocks_removed
7602477793436,,Laurent-Perrier Ultra Brut Champagne 75cl,1
7602481266844,,Laurent-Perrier Brut Millésime Vintage 2012 Champagne,1
7602484445340,,Laurent-Perrier Cuvée Rosé Champagne Bamboo Robe Edition 75cl,1
7602559287452,,Absolut Vodka 1L,1
7602565808284,,Captain Morgan Spiced Rum 1L,1
7602810880156,,Laurent-Perrier Blanc de Blancs Brut Nature Champagne 75cl,1
7602828738716,,Laurent-Perrier Rosé Alexandra 2004 Champagne,1
7602849644700,,Laurent-Perrier Grand Siècle Iteration N° 24 Champagne,1
7602925109404,,Dom Ruinart Blanc de Blancs 2010 Vintage Champagne 75cl,1
7602941919388,,"Ruinart Blanc de Blancs Champagne NV Second Skin Case, 75cl",1
7603586007196,,Taittinger Nocturne Sec Champagne City Lights Limited Edition 75cl,1
7603587219612,,Taittinger Prelude Grand Crus Champagne 75cl,1
7603589382300,,Taittinger Brut Millesime Vintage 2015 Champagne 75cl,1
7603590430876,,Taittinger Les Folies de la Marquetterie Brut NV Champagne 75cl,1
7604287242396,,Veuve Clicquot La Grande Dame Rosé 2006 Champagne 75cl,1
7604290224284,,Veuve Clicquot Rich Rosé NV Champagne 75cl,1
7604296745116,,Bollinger PN TX17 Extra Brut MV Champagne 75cl Gift Box,1
7604303757468,,Bollinger B13 Vintage Champagne 75cl,1
7605305049244,,Dom Pérignon Rosé 1995 Plenitude P2 Vintage Champagne 75cl,1
7605312618652,,"Dom Pérignon Plenitude P2 Vintage 2004 Champagne in Gift Box, 75cl",1
7606712500380,,Armand De Brignac Ace of Spades Blanc de Blanc Champagne 75cl,1
7606716530844,,Armand de Brignac Limited Edition Green Bottle Champagne 75cl,1
7608370495644,,Krug 2008 Vintage Champagne Gift Box 75cl,1
7608370561180,,Krug Rosé Brut Champagne in Gift Box 75cl,1
7608372396188,,Krug Grande Cuvée Champagne in Gift Box 75cl,1
7608376557724,,Perrier Jouet Grand Brut Champagne 75cl,1
7608389075100,,Perrier Jouet Blanc de Blancs Champagne 75cl,1
7608454938780,,Perrier Jouet Blason Rosé Brut Champagne 75cl,1
7608460017820,,Perrier Jouet Belle Epoque Blanc de Blanc 2012 Champagne 75cl,1
7608466473116,,Perrier Jouet Belle Epoque Rosé Champagne 75cl,1
7608484036764,,Perrier Jouet Belle Epoque 2013 Rose Champagne 75cl,1
7609172590748,,Charles Heidsieck Brut Reserve NV Champagne 75cl,1
7609172918428,,Charles Heidsieck Rose Reserve Champagne 75cl,1
7609182945436,,Charles Heidsieck Blanc de Blancs Champagne 75cl,1
7610207731868,,Charles Heidsieck Brut Millesime 2013 Vintage Champagne 75cl,1
7610219626652,,Charles Heidsieck Rose Millesime 2008 Vintage Champagne 75cl,1
7610225000604,,Charles Heidsieck Blanc des Millénaires 2007 Champagne 75cl,1
7610845560988,,The House of Suntory Gift Set,1
7614382833820,,"Jack Daniels Old No.7 Tennessee Whiskey Guitar Gift Pack, 70cl",1
7614540841116,,Sir Winston Churchill Pol Roger Champagne 75cl,1
7616582058140,,Heidsieck & Co. Monopole Premier Cru Champagne 75cl,1
7616592281756,,Della Vite prosecco rosé 75cl,1
7616597688476,,Baron Maxime Brut Gold Reserve 75cl,1
7616796754076,,Henriot Souverain Brut NV Champagne 75cl,1
