handle,title,products,image_url,alt_text
gifts-for-connoisseur,Gifts for Connoisseur,63,https://cdn.shopify.com/s/files/1/1624/5203/collections/darkmarcde.jpg?v=1789731779,Gifts for Connoisseur
gifts-hampers,Same-Day London Delivery: Luxury Wine & Champagne Gift Hampers,37,,
gifts-over-1000,Gifts over £1000,90,https://cdn.shopify.com/s/files/1/1624/5203/collections/louis-roederer-cristal-2000_2.jpg?v=1789731733,Gifts over £1000
gifts-under-1000,Gifts under £1000,329,https://cdn.shopify.com/s/files/1/1624/5203/collections/Moet-_Chandon_Imperial_Rose_Champagne_Gift_Box_75cl.jpg?v=1789731647,Gifts under £1000
gin,Gin Delivery London,47,https://cdn.shopify.com/s/files/1/1624/5203/collections/snapshotimagehandler_423418515.jpg?v=1789731795,Gin Delivery London
gin-gifts,Gin Gifts,47,https://cdn.shopify.com/s/files/1/1624/5203/collections/wg007.jpg?v=1789731797,Gin Gifts
glenfiddich-whisky,Glenfiddich Whisky,5,https://cdn.shopify.com/s/files/1/1624/5203/collections/glenfidch.webp?v=1789731969,Glenfiddich Whisky
graduation-gifts,Graduation Gifts,292,https://cdn.shopify.com/s/files/1/1624/5203/collections/300x300.jpg?v=1789731651,Graduation Gifts
grenache,Grenache,1,https://cdn.shopify.com/s/files/1/1624/5203/collections/OrangeGoldGerardBertrand2021.jpg?v=1789731971,Grenache
heidsieck-co-champagne,Heidsieck & Co Champagne,4,https://cdn.shopify.com/s/files/1/1624/5203/collections/monopole_heidieck_imperatrice_champagne_1.webp?v=1789731972,Heidsieck & Co Champagne
hennessy-cognac,Hennessy Cognac,6,https://cdn.shopify.com/s/files/1/1624/5203/collections/hennessy-xo-cognac-extra-old.jpg?v=1789731973,Hennessy Cognac
henriot-champagne,Henriot Champagne,5,https://cdn.shopify.com/s/files/1/1624/5203/collections/henriotdemisec.jpg?v=1789731975,Henriot Champagne
hibiki-whisky,Hibiki Whisky,5,https://cdn.shopify.com/s/files/1/1624/5203/collections/Hibiki-30_year_old.png?v=1789732010,Hibiki Whisky
irish-whisky,Irish Whisky,6,https://cdn.shopify.com/s/files/1/1624/5203/collections/jameson4.5l.jpg?v=1789732012,Irish Whisky
italian-wine-gifts,Italian Wine Gifts,38,https://cdn.shopify.com/s/files/1/1624/5203/collections/antinori-tignanello-2019-75cl-tuscany-italy_18569781_44771446_2048.jpg?v=1789732013,Italian Wine Gifts
japanese-whisky,Japanese Whisky,25,https://cdn.shopify.com/s/files/1/1624/5203/collections/hibiki-harmony-japanese-whisky-70cl-box.jpg?v=1789732014,Japanese Whisky
johnnie-walker-whisky,Johnnie Walker Whisky,13,https://cdn.shopify.com/s/files/1/1624/5203/collections/whisky-escoces-double-black-garrafa-1-litro-johnnie-walker-4959262.jpg?v=1789732016,Johnnie Walker Whisky
kosher-wines,Kosher Gifts,11,https://cdn.shopify.com/s/files/1/1624/5203/collections/IMG-4922.jpg?v=1789732017,Kosher Wines
krug-champagne,Krug Champagne,15,https://cdn.shopify.com/s/files/1/1624/5203/collections/krug_grande_cuvee_champagne_gift_boxed_75cl.webp?v=1789732019,Krug Champagne
languedoc-roussillon,Languedoc-Roussillon,5,https://cdn.shopify.com/s/files/1/1624/5203/collections/royale-chardonnay-1536x1536.jpg?v=1789732021,Languedoc-Roussillon
lanson-champagne,Lanson Champagne,1,,
